sample-id	alias	compartment	env_biome	plant_id	cultivar	collection_date	geo_loc_name
SRR1524736	FieldRun1	Endosphere	Rice Paddy	3		2013-07-08	USA: California, Central Valley
SRR1524737	GHRun1	Rhizosphere	Greenhouse Soil		93-11	2013-05-06	USA: Arbuckle, California
SRR1524738	FieldRun1	Rhizosphere	Rice Paddy	4		2013-07-08	USA: California, Central Valley
SRR1524739	GHRun1	Rhizoplane	Greenhouse Soil		93-11	2013-05-06	USA: Arbuckle, California
SRR1524740	FieldRun1	Endosphere	Rice Paddy	4		2013-07-08	USA: California, Central Valley
SRR1524741	GHRun1	Endosphere	Greenhouse Soil		93-11	2013-05-06	USA: Arbuckle, California
SRR1524742	GHRun1	Rhizosphere	Greenhouse Soil		Glab_E	2013-05-06	USA: Arbuckle, California
SRR1524743	FieldRun1	Rhizosphere	Rice Paddy	5		2013-07-08	USA: California, Central Valley
SRR1524744	GHRun1	Rhizoplane	Greenhouse Soil		Glab_E	2013-05-06	USA: Arbuckle, California
SRR1524745	FieldRun1	Rhizoplane	Rice Paddy	5		2013-07-08	USA: California, Central Valley
SRR1524746	GHRun1	Endosphere	Greenhouse Soil		Glab_E	2013-05-06	USA: Arbuckle, California
SRR1524747	FieldRun1	Endosphere	Rice Paddy	5		2013-07-08	USA: California, Central Valley
SRR1524748	GHRun1	Rhizosphere	Greenhouse Soil		Glab_B	2013-05-06	USA: Arbuckle, California
SRR1524749	FieldRun1	Endosphere	Rice Paddy	6		2013-07-08	USA: California, Central Valley
SRR1524750	GHRun1	Rhizoplane	Greenhouse Soil		Glab_B	2013-05-06	USA: Arbuckle, California
SRR1524751	FieldRun1	Rhizosphere	Rice Paddy	7		2013-07-08	USA: California, Central Valley
SRR1524752	FieldRun1	Rhizoplane	Rice Paddy	7		2013-07-08	USA: California, Central Valley
SRR1524753	GHRun1	Endosphere	Greenhouse Soil		Glab_B	2013-05-06	USA: Arbuckle, California
SRR1524755	FieldRun1	Endosphere	Rice Paddy	7		2013-07-08	USA: California, Central Valley
SRR1524756	GHRun1	Rhizoplane	Greenhouse Soil		Nipponebare	2013-05-06	USA: Davis, California
SRR1524757	FieldRun1	Rhizosphere	Rice Paddy	8		2013-07-08	USA: California, Central Valley
SRR1524758	GHRun1	Endosphere	Greenhouse Soil		Nipponebare	2013-05-06	USA: Davis, California
SRR1524759	FieldRun1	Rhizoplane	Rice Paddy	8		2013-07-08	USA: California, Central Valley
SRR1524760	GHRun1	Bulk Soil	Greenhouse Soil		Soil	2013-05-06	USA: Davis, California
SRR1524761	FieldRun1	Endosphere	Rice Paddy	8		2013-07-08	USA: California, Central Valley
SRR1524762	GHRun1	Rhizoplane	Greenhouse Soil		M104	2013-05-06	USA: Davis, California
SRR1524763	GHRun1	Endosphere	Greenhouse Soil		M104	2013-05-06	USA: Davis, California
SRR1524764	GHRun	Bulk Soil	Greenhouse Soil		Soil	2013-05-06	USA: Davis, California
SRR1524766	GHRun1	Rhizosphere	Greenhouse Soil		IR50	2013-05-06	USA: Davis, California
SRR1524767	GHRun1	Rhizoplane	Greenhouse Soil		IR50	2013-05-06	USA: Davis, California
SRR1524768	GHRun1	Endosphere	Greenhouse Soil		IR50	2013-05-06	USA: Davis, California
SRR1524769	GHRun1	Rhizoplane	Greenhouse Soil		93-11	2013-05-06	USA: Davis, California
SRR1524770	GHRun1	Endosphere	Greenhouse Soil		93-11	2013-05-06	USA: Davis, California
SRR1524771	GHRun1	Bulk Soil	Greenhouse Soil		Soil	2013-05-06	USA: Davis, California
SRR1524772	GHRun1	Endosphere	Greenhouse Soil		Glab_E	2013-05-06	USA: Davis, California
SRR1524773	GHRun1	Endosphere	Greenhouse Soil		Glab_B	2013-05-06	USA: Davis, California
SRR1524774	GHRun1	Bulk Soil	Greenhouse Soil		Soil	2013-05-06	USA: Davis, California
SRR1524775	GHRun1	Rhizosphere	Greenhouse Soil		Nipponebare	2013-05-06	USA: Davis, California
SRR1524776	GHRun1	Endosphere	Greenhouse Soil		Nipponebare	2013-05-06	USA: Davis, California
SRR1524777	GHRun1	Bulk Soil	Greenhouse Soil		Soil	2013-05-06	USA: Davis, California
